E,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39
0.767864,0.0766041,0.196947,0.321144,0.450655,0.584252,0.721617,0.862287,1.00794,1.15752,1.31046,1.46654,1.62652,1.79072,1.95772,2.1276,2.30082,2.47686,2.65688,2.83728,3.02054,3.64562,4.28599,4.94399,5.61593,6.29968,6.98744,7.6818,8.36947,9.03382,9.72685,10.4109,11.0454,11.7074,12.348,14.7295,16.8505,18.662,20.2504,21.6182
0.884116,0.0875653,0.224551,0.367083,0.514207,0.665296,0.820007,0.979607,1.14346,1.31077,1.48147,1.65581,1.83433,2.01628,2.20096,2.38951,2.5802,2.77532,2.97163,3.17101,3.37353,4.04643,4.74343,5.45817,6.18243,6.91322,7.64704,8.38061,9.09521,9.83012,10.5572,11.2659,11.9459,12.6584,13.3101,15.8602,18.0906,20.1007,21.8206,23.2907
1.01797,0.0980261,0.252567,0.412098,0.575892,0.743385,0.916014,1.09284,1.27326,1.45711,1.64528,1.83638,2.03223,2.23064,2.43224,2.63649,2.84509,3.05472,3.26792,3.4834,3.70056,4.42907,5.17417,5.93163,6.69799,7.4711,8.24192,9.0067,9.78928,10.5658,11.3331,12.0512,12.8267,13.5481,14.2377,16.997,19.4107,21.6277,23.5298,25.0983
1.17208,0.10893,0.279437,0.454611,0.633515,0.817381,1.00567,1.19763,1.39314,1.59263,1.79646,2.0027,2.21275,2.42591,2.64218,2.86158,3.08339,3.30771,3.53448,3.76369,3.99598,4.76664,5.55341,6.35303,7.16159,7.97659,8.79481,9.61977,10.4467,11.2648,12.0546,12.8679,13.6874,14.4198,15.2561,18.1862,20.898,23.294,25.395,27.1841
1.34953,0.118383,0.303135,0.49194,0.685578,0.883716,1.08563,1.29101,1.50043,1.71379,1.93071,2.15011,2.37345,2.59971,2.82893,3.06145,3.29544,3.53292,3.77302,4.01493,4.25835,5.0696,5.89801,6.74249,7.5959,8.45734,9.33283,10.2125,11.0934,11.963,12.8301,13.736,14.5792,15.435,16.316,19.5181,22.5302,25.1398,27.4669,29.4989
1.55384,0.12667,0.323513,0.525211,0.731601,0.941871,1.15533,1.37304,1.59458,1.81956,2.04738,2.27893,2.51392,2.75195,2.99236,3.2353,3.48128,3.73042,3.98129,4.23431,4.49031,5.34635,6.21914,7.11002,8.02025,8.94916,9.88762,10.8405,11.7792,12.7251,13.7054,14.6691,15.5592,16.5803,17.4951,21.076,24.3638,27.3068,29.859,32.1596
1.78909,0.133535,0.341585,0.554738,0.771888,0.992366,1.21693,1.44556,1.67785,1.91314,2.15159,2.39486,2.64086,2.88933,3.14142,3.39552,3.65529,3.91601,4.18002,4.44789,4.71758,5.61626,6.54784,7.50327,8.4816,9.48383,10.5015,11.5202,12.5479,13.6214,14.6858,15.6865,16.7734,17.8394,18.7777,22.8343,26.4056,29.7893,32.7078,35.1668
2.05995,0.140207,0.359016,0.582124,0.808789,1.03946,1.27501,1.51436,1.75656,2.00262,2.25305,2.5084,2.76532,3.02559,3.28999,3.5603,3.83132,4.10703,4.38562,4.66655,4.95379,5.92214,6.91523,7.94195,9.00256,10.0823,11.1914,12.3124,13.4752,14.6283,15.7776,16.9068,18.1291,19.2391,20.4099,24.8454,28.9662,32.7476,36.1384,39.1363
2.37181,0.146994,0.375596,0.608298,0.845146,1.08736,1.33379,1.58391,1.83776,2.09726,2.36073,2.6288,2.89949,3.17556,3.45592,3.74086,4.02933,4.32304,4.62017,4.925,5.23169,6.25753,7.33571,8.45154,9.60903,10.7951,12.0095,13.254,14.5153,15.786,17.024,18.3779,19.6842,20.8851,22.2842,27.1653,32.0304,36.3771,40.4858,44.4259
2.73089,0.153562,0.392247,0.635818,0.885511,1.13971,1.39812,1.66053,1.9304,2.20468,2.4829,2.76646,3.05469,3.34932,3.64887,3.95064,4.26122,4.5758,4.89733,5.22096,5.54954,6.67627,7.83982,9.04732,10.3081,11.615,12.9495,14.3263,15.7126,17.098,18.5717,20.0771,21.4309,23.0025,24.4694,30.2558,35.9571,41.2904,46.736,52.0869
